order_id,customer_id,product_id,order_date,quantity,status,unit_price,order_amount
1,616,247,2025-01-14 13:10:11,5,Cancelled,71.88,359.4
2,744,285,2025-02-08 21:28:32,3,Cancelled,243.23,729.6899999999999
3,1149,412,2024-11-28 10:17:32,5,Cancelled,412.25,2061.25
4,1881,471,2024-11-15 13:45:35,4,Delivered,401.76,1607.04
5,1683,78,2025-06-12 22:06:16,1,Cancelled,282.48,282.48
6,1841,90,2025-06-15 15:01:13,2,Delivered,93.69,187.38
7,827,76,2024-11-19 11:17:02,2,Cancelled,480.85,961.7
8,1477,372,2024-10-11 05:47:53,3,Cancelled,37.76,113.28
9,630,500,2025-07-16 03:56:22,4,Cancelled,40.63,162.52
10,1722,119,2025-04-09 11:25:04,2,Delivered,38.23,76.46
11,1118,322,2025-05-13 13:07:21,3,Cancelled,149.65,448.95000000000005
12,1526,379,2025-07-19 22:44:30,1,Cancelled,335.29,335.29
13,1459,245,2025-02-04 00:31:05,4,Cancelled,336.0,1344.0
14,256,272,2024-11-12 22:46:39,2,Delivered,194.85,389.7
15,1843,389,2025-07-07 03:52:12,5,Cancelled,413.42,2067.1
16,122,333,2025-08-05 20:54:35,5,Cancelled,317.44,1587.2
17,251,23,2025-04-13 03:08:34,1,Delivered,449.18,449.18
18,1082,334,2025-07-22 05:31:50,4,Cancelled,264.16,1056.64
19,746,9,2025-03-14 22:25:16,5,Cancelled,177.45,887.25
20,1400,415,2024-09-22 15:05:27,5,Cancelled,22.68,113.4
21,207,227,2024-09-30 21:01:25,2,Delivered,487.47,974.94
22,1565,300,2025-08-27 11:16:04,1,Cancelled,253.73,253.73
23,1772,479,2024-10-18 19:32:22,5,Cancelled,11.96,59.800000000000004
24,627,362,2025-01-25 19:12:44,1,Delivered,485.24,485.24
25,91,113,2025-01-25 08:37:14,2,Delivered,355.19,710.38
26,469,176,2024-09-06 15:20:56,3,Delivered,216.05,648.1500000000001
27,1836,207,2024-09-14 10:32:09,2,Delivered,278.32,556.64
28,1363,363,2024-10-26 05:42:17,4,Delivered,317.22,1268.88
29,914,348,2025-01-16 12:38:29,4,Delivered,203.17,812.68
30,857,231,2025-05-01 01:16:22,1,Delivered,187.91,187.91
31,167,476,2025-01-19 00:53:03,2,Cancelled,451.85,903.7
32,651,279,2025-08-07 10:10:46,1,Delivered,55.7,55.7
33,1826,346,2025-03-16 13:01:13,5,Delivered,118.72,593.6
34,337,9,2025-08-08 03:09:45,5,Delivered,177.45,887.25
35,341,130,2025-06-05 17:37:37,1,Delivered,397.23,397.23
36,1546,471,2025-03-04 16:11:20,1,Cancelled,401.76,401.76
37,276,109,2024-11-09 22:38:47,2,Cancelled,260.95,521.9
38,1075,2,2024-12-27 22:53:59,3,Cancelled,239.6,718.8
39,351,478,2025-08-02 18:52:48,1,Delivered,20.62,20.62
40,866,412,2025-08-06 09:39:53,3,Cancelled,412.25,1236.75
41,586,9,2024-11-05 01:39:06,4,Cancelled,177.45,709.8
42,410,341,2024-10-22 06:54:06,5,Delivered,433.22,2166.1000000000004
43,1079,477,2024-11-26 05:06:05,4,Delivered,59.74,238.96
44,1262,46,2025-06-02 17:31:06,3,Cancelled,145.27,435.81000000000006
45,1569,500,2025-08-02 10:00:17,5,Cancelled,40.63,203.15
46,1134,447,2025-07-16 22:04:50,4,Delivered,88.4,353.6
47,1415,453,2025-06-23 23:32:40,2,Delivered,97.56,195.12
48,563,380,2025-03-19 10:26:42,5,Cancelled,54.57,272.85
49,1779,210,2025-03-22 23:28:17,1,Cancelled,239.86,239.86
50,1572,299,2024-11-22 14:34:27,5,Cancelled,19.68,98.4
51,70,354,2025-07-29 18:18:24,3,Cancelled,95.66,286.98
52,598,277,2025-02-23 10:28:49,2,Delivered,375.79,751.58
53,528,224,2025-06-18 10:02:40,2,Cancelled,177.79,355.58
54,805,200,2025-07-17 07:07:57,4,Delivered,169.73,678.92
55,1552,112,2025-02-23 09:45:20,2,Delivered,243.12,486.24
56,630,452,2025-06-28 13:10:34,1,Delivered,66.6,66.6
57,1266,382,2025-03-21 06:22:29,3,Delivered,28.49,85.47
58,1807,258,2024-11-06 18:20:28,4,Cancelled,72.73,290.92
59,1249,113,2025-03-11 13:47:26,4,Cancelled,355.19,1420.76
60,1128,86,2025-04-25 06:30:09,5,Delivered,53.04,265.2
61,1940,222,2024-11-14 01:12:21,5,Delivered,259.38,1296.9
62,1263,208,2025-03-07 06:00:11,2,Cancelled,144.89,289.78
63,20,393,2025-02-28 08:20:27,4,Delivered,278.68,1114.72
64,1178,102,2025-05-08 13:48:38,2,Delivered,301.89,603.78
65,1875,474,2024-12-31 10:53:10,2,Delivered,64.66,129.32
66,796,429,2025-04-17 06:57:43,1,Cancelled,375.82,375.82
67,1586,294,2025-04-26 17:41:33,4,Cancelled,292.98,1171.92
68,1902,296,2025-05-10 22:48:45,1,Cancelled,227.6,227.6
69,935,30,2025-07-14 06:34:47,1,Delivered,58.71,58.71
